,0,1
0,100002985,52222250
1,10001025,343807274
2,10001082,275221686
3,100029775,274868112
4,100040149,371027767
5,100045402,355292943
6,100051753,135104537
7,100051753,206240290
8,100065058,103929847
9,100065058,113391175
10,100065058,117581978
11,100065058,13033971
12,100065058,140689038
13,100065058,15277921
14,100065058,166879099
15,100065058,172004547
16,100065058,185005708
17,100065058,187574292
18,100065058,232028678
19,100065058,237093314
20,100065058,246825613
21,100065058,267999481
22,100065058,270150041
23,100065058,275744867
24,100065058,290467803
25,100065058,334372932
26,100065058,34568571
27,100065058,363271355
28,100065058,370518430
29,100065058,385885149
30,100065058,399613084
31,100065058,50153640
32,100065058,55947206
33,100065058,61166718
34,100065058,80561523
35,100068031,29461090
36,100070335,356152608
37,100087810,172732741
38,100087810,79187755
39,100097524,206175088
40,100097524,240752920
41,100097524,79910489
42,100097524,88419136
43,100097524,91185152
44,100112527,163716170
45,100112527,220428701
46,100112527,382395877
47,100112527,49070398
48,10011993,248224426
49,100135156,175512250
50,100135156,21608303
51,100135783,182674415
52,100135783,240901487
53,100135783,332780262
54,100135783,350542871
55,100135783,380459722
56,100149259,112375245
57,100149259,113703269
58,100149259,204857859
59,100149259,300119843
60,100149259,344829847
61,10015926,164544258
62,10015926,174322323
63,10015926,21286357
64,10015926,316957378
65,10015926,84097493
66,100171237,155141688
67,100171237,70096217
68,100183687,156394710
69,100183687,180382928
70,100183687,300234500
71,100183687,321646366
72,100183687,324625196
73,100183687,335309109
74,100183687,71555058
75,100198255,100386761
76,100198255,109729857
77,100198255,122642354
78,100198255,132967355
79,100198255,143403329
80,100198255,167924543
81,100198255,170574814
82,100198255,18610877
83,100198255,187574292
84,100198255,191961052
85,100198255,193507507
86,100198255,235456350
87,100198255,23674328
88,100198255,240914136
89,100198255,245319071
90,100198255,256956750
91,100198255,270682233
92,100198255,27507466
93,100198255,294063567
94,100198255,299737104
95,100198255,300348049
96,100198255,340372124
97,100198255,350942199
98,100198255,46667885
99,100198255,50153640
100,100198255,56023904
101,100198255,62628113
102,100198255,64025406
103,100198255,96791663
104,100203772,140906528
105,100203772,148122978
106,100203772,281731156
107,100203772,74321361
108,100203772,81151489
109,1002073,23460138
110,100221889,144214858
111,100221889,196871757
112,100221889,213687891
113,100221889,244379213
114,100221889,279536142
115,100221889,339495478
116,100221889,347030596
117,100221889,379743275
118,100221889,38822560
119,100221889,39308931
120,100226515,21466067
121,100226515,243411581
122,100226515,250781249
123,100226515,352770251
124,100226515,365433597
125,100226515,386288949
126,100226515,392883859
127,100233331,30675144
128,100234519,101926993
129,100234519,114232371
130,100234519,123050752
131,100234519,13055617
132,100234519,135021783
133,100234519,137110318
134,100234519,141191724
135,100234519,145685427
136,100234519,152766671
137,100234519,15633992
138,100234519,158852619
139,100234519,224437531
140,100234519,240894879
141,100234519,248882292
142,100234519,249898700
143,100234519,250503162
144,100234519,254550195
145,100234519,258700615
146,100234519,274632632
147,100234519,287511152
148,100234519,295099183
149,100234519,328828
150,100234519,331732131
151,100234519,3534621
152,100234519,354299181
153,100234519,35711542
154,100234519,366918117
155,100234519,37013543
156,100234519,386011728
157,100234519,393503749
158,100234519,402755614
159,100234519,403560119
160,100234519,48044889
161,100234519,48263219
162,100234519,50109477
163,100234519,66440021
164,100234519,68326557
165,100234519,98186518
166,100243045,259282633
167,100253557,101332439
168,100253557,125316171
169,100253557,169512908
170,100253557,186881173
171,100253557,259339719
172,100253557,270852708
173,100253557,272025077
174,100260715,117483049
175,100260715,127286543
176,100260715,129126014
177,100260715,147320673
178,100260715,158757457
179,100260715,164184717
180,100260715,182645559
181,100260715,195684081
182,100260715,212199194
183,100260715,24053443
184,100260715,249060882
185,100260715,290091612
186,100260715,318643971
187,100260715,332260783
188,100260715,38511113
189,100260715,39934853
190,100260715,63003297
191,100260715,70790887
192,100260715,71027592
193,100260715,78405912
194,100277050,62725168
195,100292440,146039591
196,100292440,192722136
197,100292440,241891419
198,100292440,279255659
199,100292440,292103800
200,100292440,364183667
201,100292440,9985352
202,100299556,194911568
